x,y,capacity
5,2,1
24,2,1
3,3,1
4,3,2
5,3,2
6,3,2
7,3,1
22,3,1
23,3,2
24,3,2
25,3,2
26,3,1
3,4,2
4,4,3
5,4,4
6,4,3
7,4,2
22,4,2
23,4,3
24,4,4
25,4,3
26,4,2
2,5,1
3,5,2
4,5,4
5,5,5
6,5,4
7,5,3
8,5,3
9,5,3
10,5,3
11,5,3
12,5,3
13,5,3
14,5,3
15,5,3
16,5,3
17,5,3
18,5,3
19,5,3
20,5,3
21,5,3
22,5,3
23,5,4
24,5,5
25,5,4
26,5,2
27,5,1
3,6,2
4,6,3
5,6,4
6,6,3
7,6,2
22,6,2
23,6,3
24,6,4
25,6,3
26,6,2
3,7,1
4,7,2
5,7,2
6,7,2
7,7,3
22,7,3
23,7,2
24,7,2
25,7,2
26,7,1
5,8,1
8,8,3
21,8,3
24,8,1
9,9,3
20,9,3
10,10,3
19,10,3
11,11,3
18,11,3
12,12,3
17,12,3
13,13,3
16,13,3
14,14,3
15,14,3
14,15,3
15,15,3
13,16,3
16,16,3
12,17,3
17,17,3
11,18,3
18,18,3
10,19,3
19,19,3
9,20,3
20,20,3
5,21,1
8,21,3
21,21,3
24,21,1
3,22,1
4,22,2
5,22,2
6,22,2
7,22,3
22,22,3
23,22,2
24,22,2
25,22,2
26,22,1
3,23,2
4,23,3
5,23,4
6,23,3
7,23,2
22,23,2
23,23,3
24,23,4
25,23,3
26,23,2
2,24,1
3,24,2
4,24,4
5,24,5
6,24,4
7,24,3
8,24,3
9,24,3
10,24,3
11,24,3
12,24,3
13,24,3
14,24,3
15,24,3
16,24,3
17,24,3
18,24,3
19,24,3
20,24,3
21,24,3
22,24,3
23,24,4
24,24,5
25,24,4
26,24,2
27,24,1
3,25,2
4,25,3
5,25,4
6,25,3
7,25,2
22,25,2
23,25,3
24,25,4
25,25,3
26,25,2
3,26,1
4,26,2
5,26,2
6,26,2
7,26,1
22,26,1
23,26,2
24,26,2
25,26,2
26,26,1
5,27,1
24,27,1
