step,x,y,sugar,is_house
0,5,2,1,0
0,24,2,1,0
0,3,3,1,0
0,4,3,2,0
0,5,3,2,0
0,6,3,2,0
0,7,3,1,0
0,22,3,1,0
0,23,3,2,0
0,24,3,2,0
0,25,3,2,0
0,26,3,1,0
0,3,4,2,0
0,4,4,3,0
0,5,4,4,0
0,6,4,3,0
0,7,4,1,0
0,22,4,2,0
0,23,4,3,0
0,24,4,4,0
0,25,4,3,0
0,26,4,2,0
0,2,5,1,0
0,3,5,2,0
0,4,5,4,0
0,5,5,1,0
0,6,5,4,0
0,7,5,3,0
0,8,5,3,0
0,9,5,3,0
0,10,5,3,0
0,11,5,3,0
0,12,5,3,0
0,13,5,3,0
0,14,5,3,0
0,15,5,3,0
0,16,5,3,0
0,17,5,3,0
0,18,5,3,0
0,19,5,3,0
0,20,5,3,0
0,21,5,3,0
0,22,5,3,0
0,23,5,4,0
0,24,5,5,0
0,25,5,4,0
0,26,5,2,0
0,27,5,1,0
0,3,6,2,0
0,4,6,3,0
0,5,6,4,0
0,6,6,3,0
0,7,6,2,0
0,22,6,2,0
0,23,6,3,0
0,24,6,4,0
0,25,6,3,0
0,26,6,2,0
0,3,7,1,0
0,4,7,2,0
0,5,7,2,0
0,6,7,2,0
0,7,7,3,0
0,22,7,3,0
0,23,7,2,0
0,24,7,2,0
0,25,7,2,0
0,26,7,1,0
0,5,8,1,0
0,8,8,3,0
0,21,8,3,0
0,24,8,1,0
0,9,9,3,0
0,20,9,3,0
0,10,10,3,0
0,19,10,3,0
0,11,11,3,0
0,18,11,3,0
0,12,12,3,0
0,17,12,3,0
0,13,13,3,0
0,16,13,3,0
0,14,14,3,0
0,15,14,3,0
0,14,15,3,0
0,15,15,3,0
0,13,16,3,0
0,16,16,3,0
0,12,17,3,0
0,17,17,3,0
0,11,18,3,0
0,18,18,3,0
0,10,19,3,0
0,19,19,3,0
0,9,20,3,0
0,20,20,3,0
0,5,21,1,0
0,8,21,3,0
0,21,21,3,0
0,24,21,1,0
0,3,22,1,0
0,4,22,2,0
0,5,22,2,0
0,6,22,2,0
0,7,22,3,0
0,22,22,3,0
0,23,22,2,0
0,24,22,2,0
0,25,22,2,0
0,26,22,1,0
0,3,23,2,0
0,4,23,3,0
0,5,23,4,0
0,6,23,3,0
0,7,23,2,0
0,22,23,2,0
0,23,23,3,0
0,24,23,4,0
0,25,23,3,0
0,26,23,2,0
0,2,24,1,0
0,3,24,2,0
0,4,24,1,0
0,5,24,5,0
0,6,24,4,0
0,7,24,3,0
0,8,24,3,0
0,9,24,3,0
0,10,24,3,0
0,11,24,3,0
0,12,24,3,0
0,13,24,3,0
0,14,24,3,0
0,15,24,3,0
0,16,24,3,0
0,17,24,3,0
0,18,24,3,0
0,19,24,3,0
0,20,24,3,0
0,21,24,3,0
0,22,24,3,0
0,23,24,4,0
0,24,24,5,0
0,25,24,1,0
0,26,24,2,0
0,27,24,1,0
0,3,25,2,0
0,4,25,3,0
0,5,25,4,0
0,6,25,3,0
0,7,25,2,0
0,22,25,2,0
0,23,25,3,0
0,24,25,4,0
0,25,25,3,0
0,26,25,2,0
0,3,26,1,0
0,4,26,2,0
0,5,26,2,0
0,6,26,2,0
0,7,26,1,0
0,22,26,1,0
0,23,26,2,0
0,24,26,2,0
0,25,26,2,0
0,26,26,1,0
0,5,27,1,0
0,24,27,1,0
1,24,2,1,0
1,3,3,1,0
1,4,3,2,0
1,5,3,2,0
1,6,3,2,0
1,7,3,1,0
1,22,3,1,0
1,23,3,2,0
1,24,3,2,0
1,25,3,2,0
1,26,3,1,0
1,3,4,2,0
1,4,4,3,0
1,5,4,4,0
1,6,4,3,0
1,22,4,2,0
1,23,4,3,0
1,24,4,4,0
1,25,4,3,0
1,26,4,2,0
1,2,5,1,0
1,3,5,2,0
1,4,5,4,0
1,6,5,4,0
1,7,5,3,0
1,8,5,3,0
1,9,5,3,0
1,11,5,3,0
1,12,5,3,0
1,13,5,3,0
1,14,5,3,0
1,15,5,3,0
1,16,5,3,0
1,17,5,3,0
1,18,5,3,0
1,19,5,3,0
1,20,5,3,0
1,21,5,3,0
1,22,5,3,0
1,23,5,4,0
1,24,5,5,0
1,25,5,4,0
1,26,5,2,0
1,27,5,1,0
1,3,6,2,0
1,4,6,3,0
1,5,6,4,0
1,6,6,3,0
1,7,6,2,0
1,22,6,2,0
1,23,6,3,0
1,24,6,4,0
1,25,6,3,0
1,26,6,2,0
1,3,7,1,0
1,4,7,2,0
1,5,7,2,0
1,6,7,2,0
1,7,7,3,0
1,22,7,3,0
1,23,7,2,0
1,24,7,2,0
1,26,7,1,0
1,5,8,1,0
1,8,8,3,0
1,21,8,3,0
1,24,8,1,0
1,9,9,3,0
1,20,9,3,0
1,10,10,3,0
1,19,10,3,0
1,11,11,3,0
1,18,11,3,0
1,12,12,3,0
1,17,12,3,0
1,13,13,3,0
1,16,13,3,0
1,14,14,3,0
1,15,14,3,0
1,14,15,3,0
1,15,15,3,0
1,13,16,3,0
1,12,17,3,0
1,17,17,3,0
1,18,18,3,0
1,10,19,3,0
1,19,19,3,0
1,20,20,3,0
1,5,21,1,0
1,8,21,3,0
1,21,21,3,0
1,24,21,1,0
1,3,22,1,0
1,4,22,2,0
1,5,22,2,0
1,6,22,2,0
1,7,22,3,0
1,22,22,3,0
1,23,22,2,0
1,24,22,2,0
1,25,22,2,0
1,26,22,1,0
1,3,23,2,0
1,5,23,4,0
1,6,23,3,0
1,7,23,2,0
1,22,23,2,0
1,23,23,3,0
1,24,23,4,0
1,26,23,2,0
1,2,24,1,0
1,3,24,2,0
1,4,24,1,0
1,5,24,5,0
1,6,24,4,0
1,7,24,3,0
1,8,24,3,0
1,9,24,3,0
1,10,24,3,0
1,11,24,3,0
1,12,24,3,0
1,13,24,3,0
1,14,24,3,0
1,15,24,3,0
1,16,24,3,0
1,17,24,3,0
1,18,24,3,0
1,19,24,3,0
1,20,24,3,0
1,21,24,3,0
1,22,24,3,0
1,23,24,4,0
1,24,24,5,0
1,25,24,1,0
1,26,24,2,0
1,27,24,1,0
1,3,25,2,0
1,4,25,3,0
1,5,25,4,0
1,6,25,3,0
1,7,25,2,0
1,22,25,2,0
1,23,25,3,0
1,24,25,4,0
1,25,25,3,0
